Row,Reason
9139,Longitude/Lattitude already exists
9140,Longitude/Lattitude already exists
9141,Longitude/Lattitude already exists
9142,Longitude/Lattitude already exists
9143,Longitude/Lattitude already exists
9144,Longitude/Lattitude already exists
9145,Longitude/Lattitude already exists
9146,Longitude/Lattitude already exists
9147,Longitude/Lattitude already exists
9148,Longitude/Lattitude already exists
9149,Longitude/Lattitude already exists
9150,Longitude/Lattitude already exists
9151,Longitude/Lattitude already exists
9152,Longitude/Lattitude already exists
9153,Longitude/Lattitude already exists
9154,Longitude/Lattitude already exists
9155,Longitude/Lattitude already exists
9156,Longitude/Lattitude already exists
9157,Longitude/Lattitude already exists
9158,Longitude/Lattitude already exists
9159,Longitude/Lattitude already exists
9160,Longitude/Lattitude already exists
9161,Longitude/Lattitude already exists
9162,Longitude/Lattitude already exists
9163,Longitude/Lattitude already exists
9164,Longitude/Lattitude already exists
9165,Longitude/Lattitude already exists
9166,Longitude/Lattitude already exists
9167,Longitude/Lattitude already exists
9168,Longitude/Lattitude already exists
9169,Longitude/Lattitude already exists
9170,Longitude/Lattitude already exists
9171,Longitude/Lattitude already exists
9172,Longitude/Lattitude already exists
9173,Longitude/Lattitude already exists
9174,Longitude/Lattitude already exists
9175,Longitude/Lattitude already exists
9274,Longitude/Lattitude already exists
9275,Longitude/Lattitude already exists
9276,Longitude/Lattitude already exists
9277,Longitude/Lattitude already exists
9278,Longitude/Lattitude already exists
9279,Longitude/Lattitude already exists
9280,Longitude/Lattitude already exists
9281,Longitude/Lattitude already exists
9282,Longitude/Lattitude already exists
9283,Longitude/Lattitude already exists
9284,Longitude/Lattitude already exists
9285,Longitude/Lattitude already exists
9286,Longitude/Lattitude already exists
9287,Longitude/Lattitude already exists
9288,Longitude/Lattitude already exists
9289,Longitude/Lattitude already exists
9290,Longitude/Lattitude already exists
9291,Longitude/Lattitude already exists
9292,Longitude/Lattitude already exists
9293,Longitude/Lattitude already exists
9294,Longitude/Lattitude already exists
9295,Longitude/Lattitude already exists
9296,Longitude/Lattitude already exists
9297,Longitude/Lattitude already exists
9298,Longitude/Lattitude already exists
9299,Longitude/Lattitude already exists
9300,Longitude/Lattitude already exists
9301,Longitude/Lattitude already exists
9302,Longitude/Lattitude already exists
10439,duplicate Longitude/Lattitude in upload file
10440,duplicate Longitude/Lattitude in upload file
10441,duplicate Longitude/Lattitude in upload file
10442,duplicate Longitude/Lattitude in upload file
10443,duplicate Longitude/Lattitude in upload file
10444,duplicate Longitude/Lattitude in upload file
10445,duplicate Longitude/Lattitude in upload file
10446,duplicate Longitude/Lattitude in upload file
10575,duplicate Longitude/Lattitude in upload file
10576,duplicate Longitude/Lattitude in upload file
10577,duplicate Longitude/Lattitude in upload file
10578,duplicate Longitude/Lattitude in upload file
10579,duplicate Longitude/Lattitude in upload file
10580,duplicate Longitude/Lattitude in upload file
10581,duplicate Longitude/Lattitude in upload file
10582,duplicate Longitude/Lattitude in upload file
10583,duplicate Longitude/Lattitude in upload file
10584,duplicate Longitude/Lattitude in upload file
10585,duplicate Longitude/Lattitude in upload file
10586,duplicate Longitude/Lattitude in upload file
10587,duplicate Longitude/Lattitude in upload file
10588,duplicate Longitude/Lattitude in upload file
10589,duplicate Longitude/Lattitude in upload file
10590,duplicate Longitude/Lattitude in upload file
10591,duplicate Longitude/Lattitude in upload file
10592,duplicate Longitude/Lattitude in upload file
10593,duplicate Longitude/Lattitude in upload file
10594,duplicate Longitude/Lattitude in upload file
10595,duplicate Longitude/Lattitude in upload file
10596,duplicate Longitude/Lattitude in upload file
10597,duplicate Longitude/Lattitude in upload file
10598,duplicate Longitude/Lattitude in upload file
10599,duplicate Longitude/Lattitude in upload file
10600,duplicate Longitude/Lattitude in upload file
10601,duplicate Longitude/Lattitude in upload file
10764,duplicate Longitude/Lattitude in upload file
10765,duplicate Longitude/Lattitude in upload file
10766,duplicate Longitude/Lattitude in upload file
10767,duplicate Longitude/Lattitude in upload file
10768,duplicate Longitude/Lattitude in upload file
10769,duplicate Longitude/Lattitude in upload file
10770,duplicate Longitude/Lattitude in upload file
10771,duplicate Longitude/Lattitude in upload file
10772,duplicate Longitude/Lattitude in upload file
10773,duplicate Longitude/Lattitude in upload file
10774,duplicate Longitude/Lattitude in upload file
10775,duplicate Longitude/Lattitude in upload file
10776,duplicate Longitude/Lattitude in upload file
10777,duplicate Longitude/Lattitude in upload file
10778,duplicate Longitude/Lattitude in upload file
10779,duplicate Longitude/Lattitude in upload file
10780,duplicate Longitude/Lattitude in upload file
10781,duplicate Longitude/Lattitude in upload file
10782,duplicate Longitude/Lattitude in upload file
10783,duplicate Longitude/Lattitude in upload file
10784,duplicate Longitude/Lattitude in upload file
10785,duplicate Longitude/Lattitude in upload file
10786,duplicate Longitude/Lattitude in upload file
